Pegelname,,Pegelnummer,km,,PNP,Datum,,Uhrzeit,,Wasserstand,Wasserstand + PNP,,,
,,,,,,,,,,relativ zum PNP,absolut über Null,,,
RATHENOW UP,,580650,"103,94",,"24,51 m. ü. NHN",23.11.2024,,5:00,,100 cm,"25,51 m. ü. NHN",,,
ALBERTSHEIM,,580520,"109,83",,"24,50 m. ü. NHN",23.11.2024,,5:00,,90 cm,"25,40 m. ü. NHN",,,
GRÜTZ OP,,580700,"116,77",,"23,81 m. ü. NHN",23.11.2024,,5:00,,151 cm,"25,32 m. ü. NHN",,,
GRÜTZ UP,,580710,"117,24",,"23,81 m. ü. NHN",23.11.2024,,5:00,,76 cm,"24,57 m. ü. NHN",,,
WARNAU POLDER,,588321,"127,50",,"22,16 m. ü. NHN",23.11.2024,,4:00,,175 cm,"23,91 m. ü. NHN",,,
GÜLPE OP,,580747,"127,64",,"22,16 m. ü. NHN",23.11.2024,,5:00,,212 cm,"24,29 m. ü. NHN",,,
GARZ OP,,580750,"128,84",,"22,16 m. ü. NHN",23.11.2024,,5:00,,228 cm,"24,44 m. ü. NHN",,,
GARZ UP,,580760,"129,18",,"22,16 m. ü. NHN",23.11.2024,,5:00,,166 cm,"23,82 m. ü. NHN",,,
TRÜBENGRABEN POLDER,,580795,"141,00",,"21,56 m. ü. NHN",23.11.2024,,5:00,,220 cm,"23,76 m. ü. NHN",,,
HAVELBERG STADT,,580790,"145,26",,"21,56 m. ü. NHN",23.11.2024,,4:45,,217 cm,"23,73 m. ü. NHN",,,
HAVELBERG UP,,580800,"146,89",,"21,56 m. ü. NHN",23.11.2024,,5:00,,215 cm,"23,71 m. ü. NHN",,,
HAVELBERG EP,,502475,"147,31",,"21,56 m. ü. NHN",23.11.2024,,5:00,,235 cm,"23,91 m. ü. NHN",,,
QUITZÖBEL OP,,580820,"156,10",,"19,56 m. ü. NHN",23.11.2024,,5:00,,414 cm,"23,70 m. ü. NHN",,,
QUITZÖBEL UP,,580830,"156,19",,"19,56 m. ü. NHN",23.11.2024,,5:00,,192 cm,"21,48 m. ü. NHN",,,
NEUWERBEN EP,,502470,"156,21",,"20,39 m. ü. NHN",23.11.2024,,5:00,,262 cm,"23,01 m. ü. NHN",,,
GNEVSDORF OP,,580840,"165,45",,"19,13 m. ü. NHN",23.11.2024,,5:00,,213 cm,"21,26 m. ü. NHN",,,
GNEVSDORF EP,,503010,"165,48",,"19,13 m. ü. NHN",23.11.2024,,5:00,,211 cm,"21,24 m. ü. NHN",,,
 VERBINDUNGSKANAL HOHENSAATEN,,,,,,,,,,,,,,
HOHENSAATEN OST AP,,603090,"92,90",,"-0,84 m. ü. NHN",23.11.2024,,5:00,,350 cm,"2,66 m. ü. NHN",,,
 WARNOW,,,,,,,,,,,,,,
ROSTOCK MÜHLENDAMM OW,,9640002,"141,50",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,532 cm,"0,34 m. ü. NHN",,,
ROSTOCK MÜHLENDAMM UW,,9640018,"141,60",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,522 cm,"0,24 m. ü. NHN",,,
 WENTOW-GEWÄSSER,,,,,,,,,,,,,,
MARIENTHAL UP,,581400,"0,09",,"44,88 m. ü. NHN",23.11.2024,,5:00,,86 cm,"45,74 m. ü. NHN",,,
MARIENTHAL OP,,581390,"0,14",,"44,88 m. ü. NHN",23.11.2024,,5:00,,280 cm,"47,68 m. ü. NHN",,,
 WERBELLINER GEWÄSSER,,,,,,,,,,,,,,
EICHHORST OP,,693320,"8,70",,"39,54 m. ü. NHN",23.11.2024,,5:00,,391 cm,"43,45 m. ü. NHN",,,
EICHHORST UP,,693330,"8,70",,"39,54 m. ü. NHN",23.11.2024,,5:00,,Picture,"40,07 m. ü. NHN",,,
,,,,,,,,,,53 cm,,,,
 WERRA,,,,,,,,,,,,,,
LETZTER HELLER,,41900206,"2,32",,"117,40 m. ü. NN",23.11.2024,,5:00,,235 cm,"119,75 m. ü. NN",,,
ALLENDORF,,41900104,"40,79",,"143,52 m. ü. NN",23.11.2024,,5:00,,141 cm,"144,93 m. ü. NN",,,
HELDRA,,41700105,"77,32",,"168,02 m. ü. NN",23.11.2024,,5:00,,200 cm,"170,02 m. ü. NN",,,
 WESEL-DATTELN-KANAL,,,,,,,,,,,,,,
FRIEDRICHSFELD SCHLEUSE UW,,27800234,"1,63",,,23.11.2024,,4:02,,,"16,12 m+NN",,,
FRIEDRICHSFELD SCHLEUSE OW,,27800223,"2,29",,,23.11.2024,,4:02,,,"23,00 m+NN",,,
HÜNXE SCHLEUSE UW,,27800212,"12,88",,,23.11.2024,,4:02,,,"23,10 m+NN",,,
HÜNXE SCHLEUSE OW,,27800198,"13,66",,,23.11.2024,,4:02,,,"28,47 m+NN",,,
DORSTEN SCHLEUSE UW,,27800187,"30,02",,,23.11.2024,,4:02,,,"28,44 m+NN",,,
DORSTEN SCHLEUSE OW,,27800176,"30,86",,,23.11.2024,,4:02,,,"37,58 m+NN",,,
FLAESHEIM SCHLEUSE UW,,27800165,"48,99",,,23.11.2024,,4:00,,,"37,52 m+NN",,,
FLAESHEIM SCHLEUSE OW,,27800154,"49,73",,,23.11.2024,,4:00,,,"41,47 m+NN",,,
AHSEN SCHLEUSE UW,,27800143,"55,92",,,23.11.2024,,3:02,,,"41,49 m+NN",,,
AHSEN SCHLEUSE OW,,27800132,"56,28",,,23.11.2024,,3:02,,,"48,92 m+NN",,,
DATTELN SCHLEUSE UW,,27800121,"58,89",,,23.11.2024,,4:02,,,"48,94 m+NN",,,
DATTELN SCHLEUSE OW,,27800110,"60,11",,,23.11.2024,,4:02,,,"56,00 m+NN",,,
 WESER,,,,,,,,,,,,,,
GROSSE WESERBRÜCKE,,4910050,"0,04",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,725 cm,"2,23 m. ü. NHN",,,
HANN.MUENDEN,,43100109,"0,65",,"114,95 m. ü. NN",23.11.2024,,5:00,,199 cm,"116,94 m. ü. NN",,,
OSLEBSHAUSEN,,4910060,"8,37",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,724 cm,"2,21 m. ü. NHN",,,
VEGESACK,,4950010,"17,84",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,719 cm,"2,18 m. ü. NHN",,,
FARGE,,4950020,"26,26",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,725 cm,"2,23 m. ü. NHN",,,
ELSFLETH,,4970010,"33,33",,"-5,08 m. ü. NHN",23.11.2024,,5:03,,737 cm,"2,29 m. ü. NHN",,,
WAHMBECK,,43900105,"35,97",,"98,00 m. ü. NN",23.11.2024,,5:00,,236 cm,"100,36 m. ü. NN",,,
BRAKE,,4970020,"39,20",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,743 cm,"2,42 m. ü. NHN",,,
KARLSHAFEN,,45100100,"45,52",,"94,05 m. ü. NN",23.11.2024,,5:00,,216 cm,"96,20 m. ü. NN",,,
RECHTENFLETH,,4970030,"46,46",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,743 cm,"2,43 m. ü. NHN",,,
NORDENHAM,,4970040,"55,81",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,739 cm,"2,39 m. ü. NHN",,,
BHV ALTER LEUCHTTURM,,4990010,"66,64",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,731 cm,"2,31 m. ü. NHN",,,
HÖXTER,,45300109,"69,62",,"84,85 m. ü. NN",23.11.2024,,5:00,,234 cm,"87,19 m. ü. NN",,,
ROBBENSÜDSTEERT,,9460010,"79,94",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,713 cm,"2,13 m. ü. NHN",,,
DWARSGAT,,9460020,"92,66",,"-4,98 m. ü. NHN",23.11.2024,,4:59,,697 cm,"1,99 m. ü. NHN",,,
BODENWERDER,,45300200,"110,72",,"69,39 m. ü. NN",23.11.2024,,4:00,,262 cm,"72,01 m. ü. NN",,,
LEUCHTTURM ALTE WESER,,9460040,"115,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,667 cm,"1,69 m. ü. NHN",,,
HAMELN WEHRBERGEN,,45700207,"139,68",,"57,85 m. ü. NN",23.11.2024,,4:45,,260 cm,"60,45 m. ü. NN",,,
RINTELN,,45900109,"163,20",,"49,62 m. ü. NN",23.11.2024,,5:00,,296 cm,"52,58 m. ü. NN",,,
VLOTHO,,45900208,"184,00",,"41,66 m. ü. NN",23.11.2024,,5:00,,299 cm,"44,65 m. ü. NN",,,
PORTA,,47100100,"198,40",,"37,04 m. ü. NN",23.11.2024,,5:00,,283 cm,"39,87 m. ü. NN",,,
PETERSHAGEN,,47300100,"215,77",,"29,99 m. ü. NN",23.11.2024,,5:00,,448 cm,"34,47 m. ü. NN",,,
STOLZENAU,,47500110,"243,39",,,23.11.2024,,2:15,,360 cm,,,,
LIEBENAU,,47500200,"256,15",,"19,99 m. ü. NN",23.11.2024,,2:15,,242 cm,"22,41 m. ü. NN",,,
NIENBURG,,47900118,"268,18",,"17,37 m. ü. NN",23.11.2024,,5:00,,425 cm,"21,62 m. ü. NN",,,
DRAKENBURG,,47900107,"278,88",,"14,00 m. ü. NN",22.11.2024,,10:15,,385 cm,"17,85 m. ü. NN",,,
HOYA,,47900129,"298,40",,,23.11.2024,,5:00,,390 cm,,,,
DÖRVERDEN,,47900209,"308,95",,"7,99 m. ü. NN",23.11.2024,,5:00,,356 cm,"11,55 m. ü. NN",,,
INTSCHEDE,,49100101,"331,28",,"4,80 m. ü. NN",23.11.2024,,5:00,,260 cm,"7,39 m. ü. NN",,,
DREYE,,4910020,"355,80",,"1,98 m. ü. NHN",23.11.2024,,5:03,,278 cm,"4,76 m. ü. NHN",,,
WESERWEHR OW,,4910030,"361,80",,"-0,02 m. ü. NHN",23.11.2024,,5:03,,462 cm,"4,60 m. ü. NHN",,,
WESERWEHR UW,,4910040,"362,79",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,730 cm,"2,27 m. ü. NHN",,,
 WESTODER,,,,,,,,,,,,,,
GARTZ,,603510,"8,04",,"-5,00 m. ü. NHN",23.11.2024,,5:00,,552 cm,"0,52 m. ü. NHN",,,
MESCHERIN,,603520,"14,10",,"-5,00 m. ü. NHN",23.11.2024,,5:00,,551 cm,"0,51 m. ü. NHN",,,
 WÜMME,,,,,,,,,,,,,,
BORGFELD,,4940010,"0,27",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,633 cm,"1,31 m. ü. NHN",,,
NIEDERBLOCKLAND,,4940020,"7,99",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,625 cm,"1,23 m. ü. NHN",,,
